title,description,sdl_first_name,sdl_last_name,service_owner_first_name,service_owner_last_name,division,category,core
BUSINESS APPLICATION DEVELOPMENT ,Build a new app or enhance an existing app,Prince,Gupta,Ron,DiBiase,Business Solutions Delivery,APPLICATION SERVICES ,false
DATA EXCHANGE,Connect local apps and systems to city wide data feeds,Gregory,Soto,Prince,Gupta,Business Solutions Delivery,DATA EXCHANGE SERVICES,FALSE
MAPPING/LOCATION SERVICES,Build or enhance an app with GIS for info and analysis,Tim,Keane,Tim,Keane,Business Solutions Delivery,APPLICATION SERVICES ,FALSE
MOBILE DEVELOPMENT ,Build a new mobile app or enhance an existing app,Prince,Gupta,Ron,DiBiase,Business Solutions Delivery,APPLICATION SERVICES ,FALSE
PERFORMANCE TEST,Pre-launch infrastructure & efficiency analysis,Vidhya,Shanmugam,Doug,Dolan,Business Solutions Delivery,TESTING SERVICES,FALSE
QUALITY ASSURANCE SUPPORT ,Onboarding an agency onto QA tools and training,Gregory,Dvorkin,Doug,Dolan,Business Solutions Delivery,TESTING SERVICES,FALSE
USER EXPERIENCE DESIGN,Bring a UX designer on a DoITT Project,Lois,Last,Dominic,Berg,Business Solutions Delivery,PROFESSIONAL SERVICES,FALSE
WEBSITE DESIGN BUILD AND MAINTENANCE  ,"Build, enhance, or maintain a website",Prince,Gupta,Dominic,Berg,Business Solutions Delivery,APPLICATION SERVICES ,FALSE
WORKSHOPS,Knowledge sharing for agency best practices and workshops,Kathleen,O'Brien,Michael,Hayes,Business Solutions Delivery,METHODOLOGY AND TRAINING ,FALSE
WP ENGINE PLATFORM,Migrate or create a WP site hosted by DoITT (non secure),Christopher,Long,Dominic,Berg,Business Solutions Delivery,HOSTING SERVICES,FALSE
CABLE INFRASTRUCTURE,"Voice, data, & specialized cable installation (physical)",Talal,Qureshi,Sampath,Rengarajan,Infrastructure Management,NETWORK,FALSE
CONTACT CENTER SOLUTIONS,Setting up a call center with rule based routing (lang.),Talal,Qureshi,Sampath,Rengarajan,Infrastructure Management,TELECOM,FALSE
DATA CONNECTIVITY,Assess city internet service access needs and installation,Talal,Qureshi,Sampath,Rengarajan,Infrastructure Management,NETWORK,FALSE
EMAIL,Onboarding internal or external email service,Diane,Witek,Ken,McKenna,Infrastructure Management,HOSTING SERVICES,TRUE
PROVISIONING,Spin up a VM to host an app,Jorge,Diaz,JP,Nicosia,Infrastructure Management,HOSTING SERVICES,TRUE
SELF-PROVISIONING,BOM info to spin up a VM to host an app,Ahailia,Ramlogan,Al,Frangella,Infrastructure Management,HOSTING SERVICES,TRUE
MAINFRAME,Spin up mainframe for DB intesive apps,Diane,Sciabarra,Diane,Sciabarra,Infrastructure Management,HOSTING SERVICES,FALSE
MOBILE DEVICES AND SERVICES,"Cellphone, tablet, and data card hardware & service",Cesar,Bayas,Vito,Granato,Infrastructure Management,TELECOM,FALSE
NEW YORK WIRELESS NETWORK (NYCWIN),First responder secure wireless hardware and internet ,Joseph,Deker,Frank,Aghili,Infrastructure Management,NETWORK,FALSE
SECURE WIRELESS (LAN) SERVICES,Secure employee and guest local wifi,Talal,Qureshi,Sampath,Rengarajan,Infrastructure Management,NETWORK,FALSE
SHAREPOINT,A website CMS ,John,Scaduto,Ken,McKenna,Infrastructure Management,HOSTING SERVICES,FALSE
SITEB SERVICES,Disaster app backup and recovery service,Helen,McCormack,Helen,McCormack,Infrastructure Management,HOSTING SERVICES,FALSE
TWO-WAY RADIO COMMUNICATION,Access to Citywide Radio Network (CRN),Henry,Lukacik,Frank,Aghili,Infrastructure Management,TELECOM,FALSE
VIDEO CONFERENCING SOLUTIONS,"Room, PC, and Cell video conferencing",Talal,Qureshi,Sampath,Rengarajan,Infrastructure Management,TELECOM,FALSE
